1634480807716;co2;1243
1634480810356;temp;23.35
1634480812732;co2;1243
1634480815372;temp;23.35
1634480817740;co2;1245
1634480820388;temp;23.35
1634480822756;co2;1245
1634480825404;temp;23.35
1634480827780;co2;1247
1634480830428;temp;23.35
1634480832796;co2;1247
1634480835444;temp;23.35
1634480837820;co2;1247
1634480840468;temp;23.35
1634480842836;co2;1247
1634480845484;temp;23.35
1634480847860;co2;1248
